instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
keller5,tuning,2,2.86574,-24.0,0.05,5.0,True
keller5,tuned,20,7.91178,-27.0,0.006,10.0,True
keller5,tuning,2,2.90221,-24.0,0.05,5.0,True
keller5,tuned,50,11.70989,-26.0,0.006,10.0,True
keller6,tuning,2,3.88864,-40.0,0.005,10.0,True
keller6,tuned,1,7.54521,-42.0,0.0075,10.0,True
keller6,tuning,2,3.85488,-40.0,0.005,10.0,True
keller6,tuned,2,8.24518,-43.0,0.01,10.0,True
keller6,tuning,2,3.90026,-40.0,0.005,10.0,True
keller6,tuned,5,11.04106,-49.0,0.015,5.5,True
keller6,tuning,2,3.88321,-40.0,0.005,10.0,True
keller6,tuned,10,15.59235,-50.0,0.0075,7.5,True
keller6,tuning,2,3.90056,-40.0,0.005,10.0,True
keller6,tuned,20,24.72439,-52.0,0.015,5.5,True
keller6,tuning,2,3.87939,-40.0,0.005,10.0,True
keller6,tuned,50,52.22478,-53.0,0.015,5.5,True
p_hat1000-1,tuning,2,2.89871,-10.0,0.002,10.0,True
p_hat1000-1,tuned,1,5.77981,-10.0,0.002,0.0,True
p_hat1000-1,tuning,2,2.90974,-10.0,0.002,10.0,True
p_hat1000-1,tuned,2,5.76539,-10.0,0.002,0.0,True
p_hat1000-1,tuning,2,2.94231,-10.0,0.002,10.0,True
p_hat1000-1,tuned,5,6.27186,-10.0,0.002,0.0,True
p_hat1000-1,tuning,2,3.05608,-10.0,0.002,10.0,True
p_hat1000-1,tuned,10,7.31801,-10.0,0.002,0.0,True
p_hat1000-1,tuning,2,2.90025,-10.0,0.002,10.0,True
p_hat1000-1,tuned,20,8.63369,-10.0,0.002,0.0,True
p_hat1000-1,tuning,2,2.88717,-10.0,0.002,10.0,True
p_hat1000-1,tuned,50,13.33167,-10.0,0.002,10.0,True
p_hat1500-1,tuning,2,3.09093,-11.0,0.02,2.0,True
p_hat1500-1,tuned,1,6.03628,-11.0,0.02,2.0,True
p_hat1500-1,tuning,2,3.26296,-11.0,0.02,2.0,True
p_hat1500-1,tuned,2,6.3318,-11.0,0.002,10.0,True
p_hat1500-1,tuning,2,3.16456,-11.0,0.02,2.0,True
p_hat1500-1,tuned,5,6.95217,-11.0,0.02,2.0,True
p_hat1500-1,tuning,2,3.07068,-11.0,0.02,2.0,True
p_hat1500-1,tuned,10,8.04647,-11.0,0.002,10.0,True
p_hat1500-1,tuning,2,3.12639,-11.0,0.02,2.0,True
p_hat1500-1,tuned,20,10.37803,-11.0,0.02,2.0,True
p_hat1500-1,tuning,2,3.15565,-11.0,0.02,2.0,True
p_hat1500-1,tuned,50,17.36829,-11.0,0.02,2.0,True
p_hat300-1,tuning,2,3.27898,-8.0,0.002,1.0,True
p_hat300-1,tuned,1,6.30612,-8.0,0.002,2.0,True
p_hat300-1,tuning,2,2.91736,-8.0,0.002,1.0,True
p_hat300-1,tuned,2,5.78926,-8.0,0.002,2.0,True
p_hat300-1,tuning,2,2.93458,-8.0,0.002,1.0,True
p_hat300-1,tuned,5,5.83425,-8.0,0.002,2.0,True
p_hat300-1,tuning,2,3.11997,-8.0,0.002,1.0,True
p_hat300-1,tuned,10,6.18404,-8.0,0.002,1.0,True
p_hat300-1,tuning,2,2.90771,-8.0,0.002,1.0,True
p_hat300-1,tuned,20,6.42109,-8.0,0.002,0.0,True
p_hat300-1,tuning,2,2.9482,-8.0,0.002,1.0,True
p_hat300-1,tuned,50,7.87804,-8.0,0.002,1.0,True
p_hat500-1,tuning,2,2.90504,-9.0,0.002,1.0,True
p_hat500-1,tuned,1,5.76821,-9.0,0.002,1.0,True
p_hat500-1,tuning,2,2.96182,-9.0,0.002,1.0,True
p_hat500-1,tuned,2,5.86554,-9.0,0.002,1.0,True
